,ConceptA,ConceptB,Probability
0,1004,1027,0.0188679245283018
1,1004,1038,0.0141509433962264
2,1004,1050,0.0094339622641509
3,1004,1073,0.0283018867924528
4,1004,1112,0.0141509433962264
5,1004,1113,0.0094339622641509
6,1004,1126,0.0235849056603773
7,1019,1077,0.439960139511709
8,1019,1128,0.6716492277030394
9,1027,1038,0.0106382978723404
10,1027,1050,0.0159574468085106
11,1027,1073,0.0212765957446808
12,1027,1078,0.0106382978723404
13,1027,1113,0.0053191489361702
14,1027,1121,0.0319148936170212
15,1027,1126,0.0053191489361702
16,1038,1050,0.005813953488372
17,1038,1073,0.0116279069767441
18,1038,1078,0.0232558139534883
19,1038,1112,0.0116279069767441
20,1038,1113,0.0348837209302325
21,1038,1121,0.0290697674418604
22,1038,1126,0.0348837209302325
23,1050,1073,0.0111731843575419
24,1050,1078,0.0055865921787709
25,1050,1112,0.0223463687150838
26,1050,1113,0.0167597765363128
27,1050,1121,0.0167597765363128
28,1050,1126,0.0223463687150838
29,1073,1078,0.0282485875706214
30,1073,1112,0.0282485875706214
31,1073,1113,0.0225988700564971
32,1073,1121,0.0169491525423728
33,1073,1126,0.0225988700564971
34,1078,1112,0.021505376344086
35,1078,1113,0.032258064516129
36,1078,1121,0.010752688172043
37,1078,1126,0.010752688172043
38,1112,1113,0.0048076923076923
39,1112,1121,0.0240384615384615
40,1112,1126,0.0096153846153846
41,1113,1121,0.0382513661202185
42,1113,1126,0.0163934426229508
43,1121,1126,0.0097087378640776
44,1001,1000,1.0
45,1015,1000,1.0
46,1077,1000,1.0
47,1096,1000,1.0
48,1114,1000,1.0
49,1115,1000,1.0
50,1120,1000,1.0
51,1128,1000,1.0
52,1001,1000,1.0
53,1015,1000,1.0
54,1077,1000,1.0
55,1096,1000,1.0
56,1114,1000,1.0
57,1115,1000,1.0
58,1120,1000,1.0
59,1128,1000,1.0
60,1019,1001,1.0
61,1094,1001,1.0
62,1099,1001,1.0
63,1125,1001,1.0
64,1019,1001,1.0
65,1094,1001,1.0
66,1099,1001,1.0
67,1125,1001,1.0
68,1009,1002,1.0
69,1010,1002,1.0
70,1014,1002,1.0
71,1009,1002,1.0
72,1010,1002,1.0
73,1014,1002,1.0
74,1027,1004,1.0
75,1038,1004,1.0
76,1078,1004,1.0
77,1112,1004,1.0
78,1113,1004,1.0
79,1126,1004,1.0
80,1027,1004,1.0
81,1038,1004,1.0
82,1078,1004,1.0
83,1112,1004,1.0
84,1113,1004,1.0
85,1126,1004,1.0
86,1046,1005,1.0
87,1129,1005,1.0
88,1046,1005,1.0
89,1129,1005,1.0
90,1022,1006,1.0
91,1024,1006,1.0
92,1026,1006,1.0
93,1032,1006,1.0
94,1055,1006,1.0
95,1022,1006,1.0
96,1024,1006,1.0
97,1026,1006,1.0
98,1032,1006,1.0
99,1055,1006,1.0
100,1003,1007,1.0
101,1005,1007,1.0
102,1008,1007,1.0
103,1011,1007,1.0
104,1047,1007,1.0
105,1072,1007,1.0
106,1003,1007,1.0
107,1005,1007,1.0
108,1008,1007,1.0
109,1011,1007,1.0
110,1047,1007,1.0
111,1072,1007,1.0
112,1012,1015,1.0
113,1017,1015,1.0
114,1045,1015,1.0
115,1012,1015,1.0
116,1017,1015,1.0
117,1045,1015,1.0
118,1013,1016,1.0
119,1051,1016,1.0
120,1013,1016,1.0
121,1051,1016,1.0
122,1020,1017,1.0
123,1075,1017,1.0
124,1102,1017,1.0
125,1020,1017,1.0
126,1075,1017,1.0
127,1102,1017,1.0
128,1059,1018,1.0
129,1060,1018,1.0
130,1059,1018,1.0
131,1060,1018,1.0
132,1029,1020,1.0
133,1030,1020,1.0
134,1040,1020,1.0
135,1127,1020,1.0
136,1029,1020,1.0
137,1030,1020,1.0
138,1040,1020,1.0
139,1127,1020,1.0
140,1021,1022,1.0
141,1037,1022,1.0
142,1041,1022,1.0
143,1043,1022,1.0
144,1048,1022,1.0
145,1061,1022,1.0
146,1071,1022,1.0
147,1081,1022,1.0
148,1084,1022,1.0
149,1098,1022,1.0
150,1021,1022,1.0
151,1037,1022,1.0
152,1041,1022,1.0
153,1043,1022,1.0
154,1048,1022,1.0
155,1061,1022,1.0
156,1071,1022,1.0
157,1081,1022,1.0
158,1084,1022,1.0
159,1098,1022,1.0
160,1023,1024,1.0
161,1058,1024,1.0
162,1062,1024,1.0
163,1068,1024,1.0
164,1070,1024,1.0
165,1076,1024,1.0
166,1088,1024,1.0
167,1100,1024,1.0
168,1104,1024,1.0
169,1107,1024,1.0
170,1023,1024,1.0
171,1058,1024,1.0
172,1062,1024,1.0
173,1068,1024,1.0
174,1070,1024,1.0
175,1076,1024,1.0
176,1088,1024,1.0
177,1100,1024,1.0
178,1104,1024,1.0
179,1107,1024,1.0
180,1025,1026,1.0
181,1028,1026,1.0
182,1057,1026,1.0
183,1074,1026,1.0
184,1085,1026,1.0
185,1086,1026,1.0
186,1087,1026,1.0
187,1091,1026,1.0
188,1097,1026,1.0
189,1123,1026,1.0
190,1025,1026,1.0
191,1028,1026,1.0
192,1057,1026,1.0
193,1074,1026,1.0
194,1085,1026,1.0
195,1086,1026,1.0
196,1087,1026,1.0
197,1091,1026,1.0
198,1097,1026,1.0
199,1123,1026,1.0
200,1050,1027,1.0
201,1073,1027,1.0
202,1121,1027,1.0
203,1050,1027,1.0
204,1073,1027,1.0
205,1121,1027,1.0
206,1031,1032,1.0
207,1036,1032,1.0
208,1042,1032,1.0
209,1049,1032,1.0
210,1067,1032,1.0
211,1079,1032,1.0
212,1082,1032,1.0
213,1083,1032,1.0
214,1101,1032,1.0
215,1116,1032,1.0
216,1031,1032,1.0
217,1036,1032,1.0
218,1042,1032,1.0
219,1049,1032,1.0
220,1067,1032,1.0
221,1079,1032,1.0
222,1082,1032,1.0
223,1083,1032,1.0
224,1101,1032,1.0
225,1116,1032,1.0
226,1033,1034,1.0
227,1035,1034,1.0
228,1052,1034,1.0
229,1064,1034,1.0
230,1111,1034,1.0
231,1118,1034,1.0
232,1122,1034,1.0
233,1033,1034,1.0
234,1035,1034,1.0
235,1052,1034,1.0
236,1064,1034,1.0
237,1111,1034,1.0
238,1118,1034,1.0
239,1122,1034,1.0
240,1039,1040,1.0
241,1053,1040,1.0
242,1056,1040,1.0
243,1039,1040,1.0
244,1053,1040,1.0
245,1056,1040,1.0
246,1044,1045,1.0
247,1093,1045,1.0
248,1119,1045,1.0
249,1044,1045,1.0
250,1093,1045,1.0
251,1119,1045,1.0
252,1054,1055,1.0
253,1063,1055,1.0
254,1069,1055,1.0
255,1080,1055,1.0
256,1092,1055,1.0
257,1103,1055,1.0
258,1105,1055,1.0
259,1108,1055,1.0
260,1109,1055,1.0
261,1117,1055,1.0
262,1054,1055,1.0
263,1063,1055,1.0
264,1069,1055,1.0
265,1080,1055,1.0
266,1092,1055,1.0
267,1103,1055,1.0
268,1105,1055,1.0
269,1108,1055,1.0
270,1109,1055,1.0
271,1117,1055,1.0
272,1034,1066,1.0
273,1065,1066,1.0
274,1089,1066,1.0
275,1090,1066,1.0
276,1095,1066,1.0
277,1106,1066,1.0
278,1124,1066,1.0
279,1034,1066,1.0
280,1065,1066,1.0
281,1089,1066,1.0
282,1090,1066,1.0
283,1095,1066,1.0
284,1106,1066,1.0
285,1124,1066,1.0
286,1009,1010,0.0
287,1009,1014,0.0
288,1010,1014,0.0
289,1021,1037,0.0
290,1021,1041,0.0
291,1021,1043,0.0
292,1021,1048,0.0
293,1021,1061,0.0
294,1021,1071,0.0
295,1021,1081,0.0
296,1021,1084,0.0
297,1021,1098,0.0
298,1037,1041,0.0
299,1037,1043,0.0
300,1037,1048,0.0
301,1037,1061,0.0
302,1037,1071,0.0
303,1037,1081,0.0
304,1037,1084,0.0
305,1037,1098,0.0
306,1041,1043,0.0
307,1041,1048,0.0
308,1041,1061,0.0
309,1041,1071,0.0
310,1041,1081,0.0
311,1041,1084,0.0
312,1041,1098,0.0
313,1043,1048,0.0
314,1043,1061,0.0
315,1043,1071,0.0
316,1043,1081,0.0
317,1043,1084,0.0
318,1043,1098,0.0
319,1048,1061,0.0
320,1048,1071,0.0
321,1048,1081,0.0
322,1048,1084,0.0
323,1048,1098,0.0
324,1061,1071,0.0
325,1061,1081,0.0
326,1061,1084,0.0
327,1061,1098,0.0
328,1071,1081,0.0
329,1071,1084,0.0
330,1071,1098,0.0
331,1081,1084,0.0
332,1081,1098,0.0
333,1084,1098,0.0
334,1022,1026,0.0
335,1022,1024,0.0
336,1022,1055,0.0
337,1022,1032,0.0
338,1026,1024,0.0
339,1026,1055,0.0
340,1026,1032,0.0
341,1024,1055,0.0
342,1024,1032,0.0
343,1055,1032,0.0
344,1023,1058,0.0
345,1023,1062,0.0
346,1023,1068,0.0
347,1023,1070,0.0
348,1023,1076,0.0
349,1023,1088,0.0
350,1023,1100,0.0
351,1023,1104,0.0
352,1023,1107,0.0
353,1058,1062,0.0
354,1058,1068,0.0
355,1058,1070,0.0
356,1058,1076,0.0
357,1058,1088,0.0
358,1058,1100,0.0
359,1058,1104,0.0
360,1058,1107,0.0
361,1062,1068,0.0
362,1062,1070,0.0
363,1062,1076,0.0
364,1062,1088,0.0
365,1062,1100,0.0
366,1062,1104,0.0
367,1062,1107,0.0
368,1068,1070,0.0
369,1068,1076,0.0
370,1068,1088,0.0
371,1068,1100,0.0
372,1068,1104,0.0
373,1068,1107,0.0
374,1070,1076,0.0
375,1070,1088,0.0
376,1070,1100,0.0
377,1070,1104,0.0
378,1070,1107,0.0
379,1076,1088,0.0
380,1076,1100,0.0
381,1076,1104,0.0
382,1076,1107,0.0
383,1088,1100,0.0
384,1088,1104,0.0
385,1088,1107,0.0
386,1100,1104,0.0
387,1100,1107,0.0
388,1104,1107,0.0
389,1025,1028,0.0
390,1025,1057,0.0
391,1025,1074,0.0
392,1025,1085,0.0
393,1025,1086,0.0
394,1025,1087,0.0
395,1025,1090,0.0
396,1025,1097,0.0
397,1025,1123,0.0
398,1028,1057,0.0
399,1028,1074,0.0
400,1028,1085,0.0
401,1028,1086,0.0
402,1028,1087,0.0
403,1028,1090,0.0
404,1028,1097,0.0
405,1028,1123,0.0
406,1057,1074,0.0
407,1057,1085,0.0
408,1057,1086,0.0
409,1057,1087,0.0
410,1057,1090,0.0
411,1057,1097,0.0
412,1057,1123,0.0
413,1074,1085,0.0
414,1074,1086,0.0
415,1074,1087,0.0
416,1074,1090,0.0
417,1074,1097,0.0
418,1074,1123,0.0
419,1085,1086,0.0
420,1085,1087,0.0
421,1085,1090,0.0
422,1085,1097,0.0
423,1085,1123,0.0
424,1086,1087,0.0
425,1086,1090,0.0
426,1086,1097,0.0
427,1086,1123,0.0
428,1087,1090,0.0
429,1087,1097,0.0
430,1087,1123,0.0
431,1090,1097,0.0
432,1090,1123,0.0
433,1097,1123,0.0
434,1029,1030,0.0
435,1029,1040,0.0
436,1029,1127,0.0
437,1030,1040,0.0
438,1030,1127,0.0
439,1040,1127,0.0
440,1031,1036,0.0
441,1031,1042,0.0
442,1031,1049,0.0
443,1031,1067,0.0
444,1031,1079,0.0
445,1031,1082,0.0
446,1031,1083,0.0
447,1031,1101,0.0
448,1031,1116,0.0
449,1036,1042,0.0
450,1036,1049,0.0
451,1036,1067,0.0
452,1036,1079,0.0
453,1036,1082,0.0
454,1036,1083,0.0
455,1036,1101,0.0
456,1036,1116,0.0
457,1042,1049,0.0
458,1042,1067,0.0
459,1042,1079,0.0
460,1042,1082,0.0
461,1042,1083,0.0
462,1042,1101,0.0
463,1042,1116,0.0
464,1049,1067,0.0
465,1049,1079,0.0
466,1049,1082,0.0
467,1049,1083,0.0
468,1049,1101,0.0
469,1049,1116,0.0
470,1067,1079,0.0
471,1067,1082,0.0
472,1067,1083,0.0
473,1067,1101,0.0
474,1067,1116,0.0
475,1079,1082,0.0
476,1079,1083,0.0
477,1079,1101,0.0
478,1079,1116,0.0
479,1082,1083,0.0
480,1082,1101,0.0
481,1082,1116,0.0
482,1083,1101,0.0
483,1083,1116,0.0
484,1101,1116,0.0
485,1033,1035,0.0
486,1033,1052,0.0
487,1033,1064,0.0
488,1033,1111,0.0
489,1033,1118,0.0
490,1033,1122,0.0
491,1035,1052,0.0
492,1035,1064,0.0
493,1035,1111,0.0
494,1035,1118,0.0
495,1035,1122,0.0
496,1052,1064,0.0
497,1052,1111,0.0
498,1052,1118,0.0
499,1052,1122,0.0
500,1064,1111,0.0
501,1064,1118,0.0
502,1064,1122,0.0
503,1111,1118,0.0
504,1111,1122,0.0
505,1118,1122,0.0
506,1065,1089,0.0
507,1065,1090,0.0
508,1065,1095,0.0
509,1065,1106,0.0
510,1065,1034,0.0
511,1065,1124,0.0
512,1089,1090,0.0
513,1089,1095,0.0
514,1089,1106,0.0
515,1089,1034,0.0
516,1089,1124,0.0
517,1090,1095,0.0
518,1090,1106,0.0
519,1090,1034,0.0
520,1090,1124,0.0
521,1095,1106,0.0
522,1095,1034,0.0
523,1095,1124,0.0
524,1106,1034,0.0
525,1106,1124,0.0
526,1034,1124,0.0
527,1054,1063,0.0
528,1054,1069,0.0
529,1054,1080,0.0
530,1054,1092,0.0
531,1054,1103,0.0
532,1054,1105,0.0
533,1054,1108,0.0
534,1054,1109,0.0
535,1054,1117,0.0
536,1063,1069,0.0
537,1063,1080,0.0
538,1063,1092,0.0
539,1063,1103,0.0
540,1063,1105,0.0
541,1063,1108,0.0
542,1063,1109,0.0
543,1063,1117,0.0
544,1069,1080,0.0
545,1069,1092,0.0
546,1069,1103,0.0
547,1069,1105,0.0
548,1069,1108,0.0
549,1069,1109,0.0
550,1069,1117,0.0
551,1080,1092,0.0
552,1080,1103,0.0
553,1080,1105,0.0
554,1080,1108,0.0
555,1080,1109,0.0
556,1080,1117,0.0
557,1092,1103,0.0
558,1092,1105,0.0
559,1092,1108,0.0
560,1092,1109,0.0
561,1092,1117,0.0
562,1103,1105,0.0
563,1103,1108,0.0
564,1103,1109,0.0
565,1103,1117,0.0
566,1105,1108,0.0
567,1105,1109,0.0
568,1105,1117,0.0
569,1108,1109,0.0
570,1108,1117,0.0
571,1109,1117,0.0
572,1059,1060,0.0
